Exporter Details,Country of Origin,Vessel Name,Voyage No,Port of Loading (POL),Port of Discharge (POD),Final Destination (Country),Product Code,Description of Goods,HS Code,Unit Quantity,Unit Type,Price (per unit),Currency
EXP-18861,India,Sea Pioneer,VY-2823,"Main Port, India","Casa Port, Morocco",Morocco,PROD-55618,"Birds' eggs, not in shell, fresh, cooked by steaming or by boiling in water, moulded, frozen or otherwise preserved, whether or not containing added sugar or other sweetening matter, suitable for human consumption (excl. dried and egg yolks)",4089980,217,LITRE,235.15,INR
EXP-82130,Japan,Atlantic Voyager,VY-6531,"Main Port, Japan","Casa Port, Morocco",Morocco,PROD-63253,Crude groundnut oil (excl. for technical or industrial uses),15081090,77,LITRE,41.7,JPY
EXP-16806,Brazil,Global Trader,VY-5389,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-65149,"Outdoor trees, shrubs and bushes, incl. their roots (excl. with bare roots, cuttings, slips, young plants, conifers, evergreens and fruit, nut and forest trees)",6029048,97,PCS,286.36,BRL
EXP-80229,Netherlands,Neptune Carrier,VY-2463,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-23365,"Dried peaches, pears, papaws ""papayas"", tamarinds and other edible fruits (excl. nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, citrus fruit, grapes apricots, prunes and apples, unmixed)",81340,44,TON,364.34,EUR
EXP-83035,United States,Global Trader,VY-7485,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-25714,"Pearled cereal grains (excl. barley, oats, maize or rice)",11042930,57,LITRE,398.48,USD
EXP-44338,Spain,Sea Pioneer,VY-3808,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-82094,"Frozen fillets of cod ""Gadus morhua, Gadus ogac""",3047190,225,TON,391.56,EUR
EXP-68990,India,Pacific Challenger,VY-9823,"Main Port, India","Casa Port, Morocco",Morocco,PROD-99485,"Shelled or unshelled beans ""Vigna spp., Phaseolus spp."", uncooked or cooked by steaming or by boiling in water, frozen",7102200,96,M3,353.96,INR
EXP-76080,Germany,Voyager Titan,VY-8640,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-12746,"Cherries, prepared or preserved, containing added spirit, with actual alcoholic strength of > 11,85% mas (excl. sugar content of > 9%)",20086039,80,M3,100.42,EUR
EXP-99026,France,Neptune Carrier,VY-4622,"Main Port, France","Casa Port, Morocco",Morocco,PROD-77105,"Milk and cream of a fat content by weight of <= 1%, not concentrated nor containing added sugar or other sweetening matter (excl. in immediate packings of <= 2 l)",4011090,309,M3,369.82,EUR
EXP-61181,Italy,Maritime Legend,VY-4995,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-71792,Prepared or preserved salmon (excl. whole or in pieces),16042010,437,LITRE,409.8,EUR
EXP-23385,China,Neptune Carrier,VY-2630,"Main Port, China","Casa Port, Morocco",Morocco,PROD-77999,"Cereal grains of wheat, not otherwise worked than kibbled",1051400,192,M3,222.2,CNY
EXP-50289,Russia,Atlantic Voyager,VY-7041,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-86429,Fresh or chilled lettuce (excl. cabbage lettuce),7051900,379,M3,380.42,RUB
EXP-16098,Brazil,Sea Pioneer,VY-2823,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-78036,"Fresh coconuts, whether or not shelled or peeled (excl. in the inner shell ""endocarp"")",8011900,241,M3,270.86,BRL
EXP-37520,Spain,Voyager Titan,VY-4990,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-20642,"Meat or offal of turkeys ""Gallus domesticus"", prepared or preserved (excl. sausages and similar products, and finely homogenised preparations put up for retail sale as infant food or for dietetic purposes, in containers of a net weight of <= 250 g, preparations of liver and meat extracts and juices)",16043100,195,PCS,87.24,EUR
EXP-32584,Netherlands,Voyager Titan,VY-7041,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-97684,"Sauerkraut, non-frozen",20059960,466,KG,386.33,EUR
EXP-65049,China,Ocean Explorer,VY-3808,"Main Port, China","Casa Port, Morocco",Morocco,PROD-86297,"Shrimps of the genus Crangon, whether in shell or not, dried, salted, smoked or in brine, incl. shrimps in shell, cooked by steaming or by boiling in water (excl. ""Crangon crangon"")",4015031,44,KG,437.14,CNY
EXP-50815,India,Neptune Carrier,VY-8880,"Main Port, India","Casa Port, Morocco",Morocco,PROD-25928,"Lard, rendered or otherwise extracted, for industrial uses (excl. for the manufacture of foodstuffs, lard stearin and lard oil)",15011010,96,M3,200.36,INR
EXP-88564,South Korea,Sea Pioneer,VY-7557,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-58576,Coffee husks and skins; coffee substitutes containing coffee in any proportion,90190,22,KG,303.62,KRW
EXP-64437,Russia,Ocean Explorer,VY-6642,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-38862,"Maize oil and fractions thereof, whether or not refined, but not chemically modified (excl. crude)",151529,199,KG,88.77,RUB
EXP-53065,China,Atlantic Voyager,VY-2630,"Main Port, China","Casa Port, Morocco",Morocco,PROD-98891,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",40221,478,TON,28.71,CNY
EXP-95451,United Kingdom,Voyager Titan,VY-5417,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-49555,"Frozen unseparated or separated bovine forequarters, with bone in",2022030,437,LITRE,4.35,GBP
EXP-70443,Brazil,Horizon Express,VY-2307,"Main Port, Brazil","Casa Port, Morocco",Morocco,PROD-23579,"Dried sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling or sprats ""Sprattus sprattus"", mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus"", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jack and horse mackerel ""Trachurus spp."", jacks, crevalles ""Caranx spp."", cobia ""Rachycentron canadum"", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", swordfish ""Xiphias gladius"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"", even salted but not smoked (excl. fillets and offal)",3055490,361,PCS,68.75,BRL
EXP-43542,Belgium,Horizon Express,VY-4695,"Main Port, Belgium","Casa Port, Morocco",Morocco,PROD-37541,"Frozen meat, whether or not minced, of dogfish and other sharks (excl. picked dogfish ""Squalus acanthias"", catsharks ""Scyliorhinus spp."", porbeagle shark ""Lamna nasus"" and blue shark ""Prionace glauca"")",3049690,278,LITRE,67.44,EUR
EXP-94591,Netherlands,Atlantic Voyager,VY-4990,"Main Port, Netherlands","Casa Port, Morocco",Morocco,PROD-63569,"Wholly milled medium grain rice, parboiled, whether or not polished or glazed",10063063,284,TON,277.78,EUR
EXP-55332,United States,Global Trader,VY-3277,"Main Port, United States","Casa Port, Morocco",Morocco,PROD-35515,"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading 0713, of sago and manioc, arrowroot and salep, Jerusalem artichoke, sweet potatoes and similar roots and tubers with high starch or inulin content of heading 0714, produce of chapter 8 ""Edible fruit and nuts; peel of citrus fruits or melons""",1106,256,TON,304.78,USD
EXP-17397,India,Sea Pioneer,VY-8930,"Main Port, India","Casa Port, Morocco",Morocco,PROD-23216,"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower (excl. those used for human consumption, orchids, hyacinths, narcissi, tulips and chicory plants and roots)",6012090,483,LITRE,256.68,INR
EXP-12387,France,Ocean Explorer,VY-6243,"Main Port, France","Casa Port, Morocco",Morocco,PROD-72184,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled",801,461,M3,226.47,EUR
EXP-12606,China,Voyager Titan,VY-6793,"Main Port, China","Casa Port, Morocco",Morocco,PROD-71817,"Animal, vegetable or microbial fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",1516,140,TON,25.78,CNY
EXP-37933,Italy,Neptune Carrier,VY-9155,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-60361,"Live, fresh or chilled, even in shell, clams, cockles and ark shells ""families Arcidae, Arcticidae, Cardiidae, Donacidae, Hiatellidae, Mactridae, Mesodesmatidae, Myidae, Semelidae, Solecurtidae, Solenidae, Tridacnidae and Veneridae""",3077100,402,M3,268.92,EUR
EXP-52188,Canada,Atlantic Voyager,VY-3277,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-96366,Culture yeasts,21021010,292,TON,156.78,CAD
EXP-48896,Germany,Voyager Titan,VY-2113,"Main Port, Germany","Casa Port, Morocco",Morocco,PROD-19109,Oil foots and dregs; soapstocks (excl. those containing oil with characteristics of olive oil),15220091,56,M3,343.05,EUR
EXP-30105,South Korea,Voyager Titan,VY-5900,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-63734,"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, Brix value > 67 at 20°C, value of <= 30 € per 100 kg, whether or not containing added sugar or other sweetening matter (excl. containing spirit and mixtures of apple and pear juice)",20099021,21,TON,317.27,KRW
EXP-83370,South Korea,Pacific Challenger,VY-1891,"Main Port, South Korea","Casa Port, Morocco",Morocco,PROD-35182,"Animal fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared",151610,275,PCS,349.96,KRW
EXP-76804,Russia,Horizon Express,VY-7083,"Main Port, Russia","Casa Port, Morocco",Morocco,PROD-62490,"Products of fish or crustaceans, molluscs or other aquatic invertebrates; dead fish, crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption",51191,106,M3,374.41,RUB
EXP-47053,Canada,Sea Pioneer,VY-1944,"Main Port, Canada","Casa Port, Morocco",Morocco,PROD-48315,"Fresh or chilled meat, whether or not minced, of blue shark ""Prionace glauca"" (excl. fillets)",1063980,489,LITRE,279.34,CAD
EXP-68116,United Kingdom,Global Trader,VY-2851,"Main Port, United Kingdom","Casa Port, Morocco",Morocco,PROD-37567,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of domestic ducks",2074441,293,M3,271.89,GBP
EXP-15747,Spain,Voyager Titan,VY-4358,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-33759,"Prepared or preserved meat or offal of sheep (excl. sausages and similar products, finely homogenised preparations put up for retail sale as infant food or for dietetic purposes in containers of a net weight of <= 250 g, preparations of liver, meat extracts, juices, and containing meat or offal of bovines or domestic swine)",17029079,67,PCS,65.94,EUR
EXP-14299,Turkey,Atlantic Voyager,VY-2185,"Main Port, Turkey","Casa Port, Morocco",Morocco,PROD-36845,"Maize ""corn"" flour",110220,22,LITRE,326.45,TRY
EXP-98327,Italy,Sea Pioneer,VY-1737,"Main Port, Italy","Casa Port, Morocco",Morocco,PROD-77852,"Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared",603,93,KG,145.46,EUR
EXP-71791,Spain,Horizon Express,VY-4322,"Main Port, Spain","Casa Port, Morocco",Morocco,PROD-17532,"Other vegetables, fresh or chilled (excl. potatoes, tomatoes, alliaceous vegetables, edible brassicas, lettuce ""Lactuca sativa"" and chicory ""Cichorium spp."", carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, cucumbers and gherkins, and leguminous vegatables)",709,79,M3,231.53,EUR
